"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
8.36,-12.9714915055896
8.4,-13.1260910599923
8.44,-13.2799489529394
8.48,-13.4330574138478
8.51999999999999,-13.5854061190893
8.55999999999999,-13.7369873199741
8.59999999999999,-13.8877915836354
8.63999999999999,-14.0378119588815
8.67999999999999,-14.1870349519953
8.71999999999999,-14.3354528607253
8.75999999999999,-14.4830571425801
8.79999999999999,-14.6298376689325
8.83999999999999,-14.775785130428
8.87999999999999,-14.9208917604531
8.91999999999999,-15.0651451724949
8.95999999999998,-15.2085376192429
8.99999999999998,-15.3510597980598
9.03999999999998,-15.4926994542164
9.07999999999998,-15.6334502755839
9.11999999999998,-15.7732986039218
9.15999999999998,-15.9122380804526
9.19999999999998,-16.0502565593196
9.23999999999998,-16.187343389305
9.27999999999998,-16.3234920954428
9.31999999999998,-16.4586878584656
9.35999999999998,-16.5929241717394
9.39999999999998,-16.7261917021107
9.43999999999997,-16.8584744732716
9.47999999999997,-16.9897672152758
9.51999999999997,-17.1200566874589
9.55999999999997,-17.2493336107489
9.59999999999997,-17.3775886575728
9.63999999999997,-17.5048099534861
9.67999999999997,-17.6309869204824
9.71999999999997,-17.7561089827771
9.75999999999997,-17.8801655643382
9.79999999999997,-18.0031472772574
9.83999999999997,-18.1250411423252
9.87999999999997,-18.2458389363466
9.91999999999996,-18.3655265727739
9.95999999999996,-18.4840969277234
9.99999999999996,-18.6015359752014
10.04,-18.7178342666571
10.08,-18.8329811885298
10.12,-18.9469639530766
10.16,-19.0597762472956
10.2,-19.1714010140694
10.24,-19.2818287595375
10.28,-19.3910499092159
10.32,-19.4990527906635
10.36,-19.6058257598511
10.4,-19.7113591605307
10.44,-19.815639385764
10.48,-19.9186567746314
10.52,-20.0203997032852
10.56,-20.1208565661566
10.5999999999999,-20.2200157996802
10.6399999999999,-20.3178675813231
10.6799999999999,-20.4143987602488
10.7199999999999,-20.5095995051953
10.7599999999999,-20.6034593025217
10.7999999999999,-20.6959545717731
10.8399999999999,-20.787130075005
10.8799999999999,-20.8767426240745
10.9199999999999,-20.9653443678203
10.9599999999999,-21.0907946106678
10.9999999999999,-21.2788722120523
11.0399999999999,-21.518875207728
11.0799999999999,-21.79674697181
11.1199999999999,-22.0957520297923
11.1599999999999,-22.3973893288085
11.1999999999999,-22.6826752119229
11.2399999999999,-22.9563523245782
11.2799999999999,-23.2299750077286
11.3199999999999,-23.5034755953986
11.3599999999999,-23.776834562696
11.3999999999999,-24.0500311640663
11.4399999999999,-24.323046760163
11.4799999999999,-24.595854081716
11.5199999999999,-24.8684303212541
11.5599999999999,-25.1407552211012
11.5999999999999,-25.4128035787368
11.6399999999999,-25.684557505107
11.6799999999999,-25.9559844907991
11.7199999999999,-26.2270666426341
11.7599999999999,-26.4977836157871
11.7999999999999,-26.7681078063341
11.8399999999999,-27.0380164836617
11.8799999999999,-27.3074917528726
11.9199999999999,-27.5765036920618
11.9599999999999,-27.845034458986
11.9999999999999,-28.1130590300578
12.0399999999999,-28.3805524441295
12.0799999999999,-28.6474993467355
12.1199999999999,-28.9138677253049
12.1599999999999,-29.1796399534979
12.1999999999999,-29.4447937030816
12.2399999999999,-29.7093066916231
12.2799999999999,-29.9731521118456
12.3199999999999,-30.2363075761251
12.3599999999999,-30.4987617449692
12.3999999999999,-30.7604740650044
12.4399999999999,-31.0214490769986
12.4799999999999,-31.2816152114834
12.5199999999999,-31.5410252823134
12.5599999999999,-31.7889361694618
12.5999999999999,-31.9852129234952
12.6399999999999,-32.114827455069
12.6799999999999,-32.1693152628344
12.7199999999999,-32.1453644745505
12.7599999999999,-32.0454801352102
12.7999999999999,-31.9161025658899
12.8399999999999,-31.7855736244846
12.8799999999999,-31.6220905100074
12.9199999999999,-31.379491004549
12.9599999999999,-31.0956916718062
12.9999999999999,-30.7986450758338
13.0399999999999,-30.498482783248
13.0799999999999,-30.1980861781181
13.1199999999999,-29.8983117943461
13.1599999999999,-29.6000747203975
13.1999999999999,-29.305934084759
13.2399999999999,-29.0196844937831
13.2799999999999,-28.7443960311191
13.3199999999999,-28.4823073138658
13.3599999999999,-28.234631066277
13.3999999999999,-28.0015788359906
13.4399999999999,-27.7825699853358
13.4799999999999,-27.5764915050822
13.5199999999999,-27.3819862693735
13.5599999999999,-27.1982974981651
13.5999999999999,-27.024993333358
13.6399999999999,-26.8614725608017
13.6799999999999,-26.7069848776285
13.7199999999999,-26.5606910045522
13.7599999999999,-26.4216881027873
13.7999999999999,-26.2890392128045
13.8399999999999,-26.1618123196055
13.8799999999999,-26.0390771747025
13.9199999999999,-25.9199332441629
13.9599999999999,-25.8035020176934
13.9999999999999,-25.6889453824637
14.0399999999999,-25.5754479432291
14.0799999999999,-25.462228989928
14.1199999999999,-25.3485334124522
14.1599999999999,-25.2336358979997
14.1999999999999,-25.1168871538873
14.2399999999999,-24.9980475270171
14.2799999999999,-24.8770440820172
14.3199999999999,-24.7538109944947
14.3599999999999,-24.6282824918249
14.3999999999999,-24.5003925050232
14.4399999999999,-24.3700769589678
14.4799999999999,-24.2372737636679
14.5199999999999,-24.1019282835312
14.5599999999999,-23.9639772303751
14.5999999999999,-23.8233731757619
14.6399999999999,-23.6800599141514
14.6799999999999,-23.5339891973172
14.7199999999999,-23.3851092642329
14.7599999999999,-23.2333799290589
14.7999999999999,-23.0787577630218
14.8399999999999,-22.9211988562626
14.8799999999999,-22.7606719978877
14.9199999999999,-22.5971394548038
14.9599999999999,-22.4305735750249
14.9999999999999,-22.2609470498547
15.0399999999999,-22.0882364419593
15.0799999999999,-21.9124224536053
15.1199999999999,-21.7334902093373
15.1599999999999,-21.5514334620939
15.1999999999999,-21.3662433187327
15.2399999999999,-21.1779240381414
15.2799999999999,-20.9864775053907
15.3199999999998,-20.7919239659139
15.3599999999998,-20.5942731898977
15.3999999999998,-20.3935496139128
15.4399999999998,-20.1897889532765
15.4799999999998,-19.9830296403435
15.5199999999998,-19.773307867843
15.5599999999998,-19.5606904212989
15.5999999999998,-19.3452232785599
15.6399999999998,-19.1269787339447
15.6799999999998,-18.9060318414903
15.7199999999998,-18.6824599967718
15.7599999999998,-18.4563472213388
15.7999999999998,-18.2278013217776
15.8399999999998,-17.996917822719
15.8799999999998,-17.7639559967937
15.9199999999998,-17.53001090945
15.9599999999998,-17.296378278435
15.9999999999998,-17.0642856110929
16.0399999999998,-16.8349398689352
16.0799999999998,-16.6091170384879
16.1199999999998,-16.3868891634984
16.1599999999998,-16.1682526718666
16.1999999999998,-15.9532098148246
16.2399999999998,-15.7417779178784
16.2799999999998,-15.5339838329982
16.3199999999998,-15.3298552383543
16.3599999999998,-15.1294422930974
16.3999999999998,-14.9328032438869
16.4399999999998,-14.7400153980657
16.4799999999998,-14.5511612469309
16.5199999999998,-14.3663539026795
16.5599999999998,-14.1857042887145
16.5999999999998,-14.009360330993
16.6399999999998,-13.8374748947598
16.6799999999998,-13.67023019213
16.7199999999998,-13.507820608616
16.7599999999998,-13.3504714498401
16.7999999999998,-13.198422423731
16.8399999999998,-13.0519453515446
16.8799999999998,-12.9113279725963
16.9199999999998,-12.7768863128464
16.9599999999998,-12.648963441495
16.9999999999998,-12.5279140565534
17.0399999999998,-12.4141268407223
17.0799999999998,-12.3079900586677
17.1199999999998,-12.2096898919605
17.1599999999998,-12.118998187096
17.1999999999998,-12.0354953726126
17.2399999999998,-11.9586383287366
17.2799999999998,-11.8877829564237
17.3199999999998,-11.8222484084015
17.3599999999998,-11.7613218561681
17.3999999999998,-11.7043143639855
17.4399999999998,-11.6505700660009
17.4799999999998,-11.5994836481823
17.5199999999998,-11.5504484757024
17.5599999999998,-11.5025491996192
17.5999999999998,-11.454754745194
17.6399999999998,-11.4061764546681
17.6799999999998,-11.356001804449
17.7199999999998,-11.3034483417726
17.7599999999998,-11.2477402442682
17.7999999999998,-11.1880746934524
17.8399999999998,-11.1235838732804
17.8799999999998,-11.0533211268415
17.9199999999998,-10.9762027517497
17.9599999999998,-10.8909891167555
17.9999999999998,-10.7962326323094
18.0399999999998,-10.6902655201188
18.0799999999998,-10.5711792163422
18.1199999999998,-10.436943055409
18.1599999999998,-10.2856611648212
18.1999999999998,-10.1161842184553
18.2399999999998,-9.92895304774705
18.2799999999998,-9.72683618522351
18.3199999999998,-9.51488479387583
18.3599999999998,-9.29890462134507
18.3999999999998,-9.08380826586619
18.4399999999998,-8.87278086200246
18.4799999999998,-8.66751663769042
18.5199999999998,-8.46868724463735
18.5599999999998,-8.27646954400586
18.5999999999998,-8.09335972840476
18.6399999999998,-7.92973457780618
18.6799999999998,-7.76745674624855
18.7199999999998,-7.60652170469715
18.7599999999998,-7.44694498871432
18.7999999999998,-7.28873568735195
18.8399999999998,-7.13190664583063
18.8799999999998,-6.97645623269386
18.9199999999998,-6.82240531044303
18.9599999999998,-6.66975353871012
18.9999999999998,-6.51850764047751
19.0399999999998,-6.36868896051259
19.0799999999998,-6.2202899517863
19.1199999999998,-6.07333241706466
19.1599999999998,-5.92781637333949
19.1999999999998,-5.78374924484796
19.2399999999998,-5.6411460261832
19.2799999999998,-5.50000699964326
19.3199999999998,-5.36034747218232
19.3599999999998,-5.22216790771099
19.3999999999998,-5.08548391388877
19.4399999999998,-4.9502961232027
19.4799999999998,-4.81662043405388
19.5199999999998,-4.68444996335813
19.5599999999998,-4.55380849593106
19.5999999999998,-4.42468922736332
19.6399999999998,-4.29710850320724
19.6799999999998,-4.17106729284155
19.7199999999998,-4.04657436167855
19.7599999999998,-3.92363069315326
19.7999999999998,-3.8022530107918
19.8399999999998,-3.68244236956133
19.8799999999998,-3.56419976466486
19.9199999999998,-3.44753412619478
19.9599999999998,-3.33245447942789
19.9999999999998,-3.21896185961835
20.0399999999998,-3.10705721371658
20.0799999999997,-2.99675763104878
20.1199999999997,-2.88805576854187
20.1599999999997,-2.78096037435582
20.1999999999997,-2.67547200336698
20.2399999999997,-2.57159936648759
20.2799999999997,-2.46933488178567
20.3199999999997,-2.36869592586424
20.3599999999997,-2.2696749137246
20.3999999999997,-2.17228070176056
20.4399999999997,-2.0765133259221
20.4799999999997,-1.98236308299607
20.5199999999997,-1.8898537370157
20.5599999999997,-1.79895835196686
20.5999999999997,-1.70969231287905
20.6399999999997,-1.62205638271501
20.6799999999997,-1.53604489511614
20.7199999999997,-1.45166017106762
20.7599999999997,-1.36892118916313
20.7999999999997,-1.28781111039626
20.8399999999997,-1.20833028385513
20.8799999999997,-1.13045688777253
20.9199999999997,-1.05418748175218
20.9599999999997,-0.979502140857536
20.9999999999997,-0.906390648993043
21.0399999999997,-0.834855175429051
21.0799999999997,-0.76491939421567
21.1199999999997,-0.696605769091854
21.1599999999997,-0.629923947836579
21.1999999999997,-0.564897740973712
21.2399999999997,-0.501520735551461
21.2799999999997,-0.439794841594766
21.3199999999997,-0.379646751557058
21.3599999999997,-0.320976705378656
21.3999999999997,-0.263723147237721
21.4399999999997,-0.207816994683671
21.4799999999997,-0.15326413576925
21.5199999999997,-0.100209736859694
21.5599999999997,-0.0488549246611058
21.5999999999997,-0.00138130615992912
21.6399999999997,-0.00842795194310856
21.6799999999997,-0.0218122256282827
21.7199999999997,-0.036854143245059
21.7599999999997,-0.0463233818504355
21.7999999999997,-0.052574762364476
21.8399999999997,-0.0582833327815899
21.8799999999997,-0.0652584224547567
21.9199999999997,-0.0733649663470787
